\lambda d_k
6.530753768844220758e+03 8.074588597918417321e-01
6.531356783919597547e+03 6.615389998470206923e-01
6.531959798994975245e+03 1.305838144420433888e+00
6.532562814070352033e+03 1.515499761247975474e+00
6.533165829145728821e+03 1.465640059558099395e+00
6.533768844221105610e+03 5.803912383886806747e-01
6.534371859296482398e+03 8.453938120743926810e-01
6.534974874371859187e+03 1.165631715701781923e+00
6.535577889447235975e+03 1.487772563561179595e+00
6.536180904522612764e+03 7.604128810773550518e-01
6.536783919597989552e+03 9.071705116680917058e-01
6.537386934673367250e+03 4.468325129969865639e-01
6.537989949748744039e+03 4.018966879596685970e-01
6.538592964824120827e+03 1.406262911197120102e+00
6.539195979899497615e+03 1.678120014285517936e+00
6.539798994974874404e+03 9.639949392103477344e-01
6.540402010050251192e+03 1.501766448948398835e+00
6.541005025125627981e+03 1.180818012534448957e+00
6.541608040201004769e+03 6.774401227429214245e-01
6.542211055276381558e+03 1.180697802941083285e+00
6.542814070351758346e+03 1.769018283970391181e+00
6.543417085427136044e+03 9.820869832395812127e-01
6.544020100502512832e+03 1.782321838078202436e+00
6.544623115577889621e+03 -3.098725164911912966e-01
6.545226130653266409e+03 1.410951371545234645e+00
6.545829145728643198e+03 1.043523918949104123e+00
6.546432160804019986e+03 8.504975163956574047e-01
6.547035175879396775e+03 1.045883932042256825e+00
6.547638190954773563e+03 6.225664189201118859e-03
6.548241206030150352e+03 8.901918196942599781e-01
6.548844221105528050e+03 1.178629426726727880e+00
6.549447236180904838e+03 1.739132076444699582e+00
6.550050251256281626e+03 7.413145565737033760e-01
6.550653266331658415e+03 5.968025816971262998e-01
6.551256281407035203e+03 7.514734471764443757e-01
6.551859296482411992e+03 1.462763759891096305e+00
6.552462311557788780e+03 1.174841685886659048e+00
6.553065326633165569e+03 7.558997882110318756e-01
6.553668341708542357e+03 1.296257278629840748e+00
6.554271356783919146e+03 1.121102066341712167e+00
6.554874371859296843e+03 1.611946869818821959e+00
6.555477386934673632e+03 8.645509720912620821e-01
6.556080402010050420e+03 1.185893785615339757e+00
6.556683417085427209e+03 1.348828259279679642e+00
6.557286432160803997e+03 1.083570129123622161e+00
6.557889447236180786e+03 2.319755616402494613e+00
6.558492462311557574e+03 2.747678559573160317e+00
6.559095477386934363e+03 3.146135975084320080e+00
6.559698492462311151e+03 3.611569388090748678e+00
6.560301507537688849e+03 3.628706842146565581e+00
6.560904522613065637e+03 4.707327605959900296e+00
6.561507537688442426e+03 5.246660114925318474e+00
6.562110552763819214e+03 5.383866041287002524e+00
6.562713567839196003e+03 5.896619174435661748e+00
6.563316582914572791e+03 6.174262586403856723e+00
6.563919597989949580e+03 6.713619924922188176e+00
6.564522613065326368e+03 5.483049872933522195e+00
6.565125628140703157e+03 5.018823300677826005e+00
6.565728643216079945e+03 4.268976626581374667e+00
6.566331658291457643e+03 2.739325231003124195e+00
6.566934673366834431e+03 3.102359004129346509e+00
6.567537688442211220e+03 2.622949040592183589e+00
6.568140703517588008e+03 3.383368773288419007e+00
6.568743718592964797e+03 1.703649005663476990e+00
6.569346733668341585e+03 1.684219906420645785e+00
6.569949748743718374e+03 1.324337907283494875e+00
6.570552763819095162e+03 6.258629183847038702e-01
6.571155778894471950e+03 1.695602237627048314e+00
6.571758793969849648e+03 1.446435099390395607e+00
6.572361809045226437e+03 1.433918052667989773e+00
6.572964824120603225e+03 5.654049337859590185e-01
6.573567839195980014e+03 1.711499745071971335e+00
6.574170854271356802e+03 3.039514543284949077e-01
6.574773869346733591e+03 1.295689666054484546e+00
6.575376884422110379e+03 2.096234625419042708e+00
6.575979899497487168e+03 5.051623907642970313e-01
6.576582914572863956e+03 7.170279662343519433e-01
6.577185929648241654e+03 1.049895432384595706e+00
6.577788944723618442e+03 7.482885958820892913e-01
6.578391959798995231e+03 2.246778977615924155e-01
6.578994974874372019e+03 1.034284846453705997e+00
6.579597989949748808e+03 4.688492703708784237e-01
6.580201005025125596e+03 1.236796578617040065e+00
6.580804020100502385e+03 5.402879953354695619e-01
6.581407035175879173e+03 1.774967235937947141e+00
6.582010050251255961e+03 6.083733633760026738e-01
6.582613065326632750e+03 8.389692445141361254e-01
6.583216080402010448e+03 1.406758609373988556e+00
6.583819095477387236e+03 3.845678419573178575e-01
6.584422110552764025e+03 1.113729967344400551e+00
6.585025125628140813e+03 1.653571377151090260e+00
6.585628140703517602e+03 1.962583827215989007e-01
6.586231155778894390e+03 1.092316929266628156e+00
6.586834170854271179e+03 1.129941397124310187e+00
6.587437185929647967e+03 1.390911435888674497e+00
6.588040201005024755e+03 3.815246445609628001e-01
6.588643216080401544e+03 3.397716934578625114e-01
6.589246231155779242e+03 1.260970782808449098e+00
6.589849246231156030e+03 1.148492336616593112e+00
6.590452261306532819e+03 1.125246425172938380e+00
6.591055276381909607e+03 1.173224104748487928e+00
6.591658291457286396e+03 6.599876392107546508e-01
6.592261306532663184e+03 1.116126848580501818e+00
6.592864321608039972e+03 1.146536236649340568e+00
6.593467336683416761e+03 6.428242909868160382e-01
6.594070351758793549e+03 1.932887255572378393e+00
6.594673366834171247e+03 1.236916460455893763e+00
6.595276381909548036e+03 4.043482513986756954e-01
6.595879396984924824e+03 1.328276804316914861e+00
6.596482412060301613e+03 5.126591648863392248e-01
6.597085427135678401e+03 1.393542301871226075e+00
6.597688442211055190e+03 1.579297789503701921e+00
6.598291457286431978e+03 5.896588408241447699e-01
6.598894472361808766e+03 1.481688064622160850e+00
6.599497487437185555e+03 1.206390463468249186e+00
6.600100502512563253e+03 1.411030079997245057e+00
6.600703517587940041e+03 1.948396491326973567e+00
6.601306532663316830e+03 8.773059419985647089e-01
6.601909547738693618e+03 6.231319178212552101e-01
6.602512562814070407e+03 5.552427851872383524e-01
6.603115577889447195e+03 5.920948575172808592e-01
6.603718592964823983e+03 9.614491452929478932e-01
6.604321608040200772e+03 1.170575987408321694e+00
6.604924623115577560e+03 1.138345399665009472e+00
6.605527638190954349e+03 1.413591624518011791e+00
6.606130653266332047e+03 1.006500945938953562e+00
6.606733668341708835e+03 1.726767038578658431e+00
6.607336683417085624e+03 8.676715833810220158e-01
6.607939698492462412e+03 2.360084583294809413e+00
6.608542713567839201e+03 1.312833673882503049e+00
6.609145728643215989e+03 5.714212217918587244e-01
6.609748743718592777e+03 4.645537509694438461e-01
6.610351758793969566e+03 1.241236207621592591e+00
6.610954773869346354e+03 8.882686073370745783e-01
6.611557788944724052e+03 1.357000247046046049e+00
6.612160804020100841e+03 1.236618812286772506e+00
6.612763819095477629e+03 9.635855436715635713e-01
6.613366834170854418e+03 5.766031409657974560e-01
6.613969849246231206e+03 2.425763876570676825e-01
6.614572864321607994e+03 7.767425239664894621e-01
6.615175879396984783e+03 1.428199397161736162e+00
6.615778894472361571e+03 1.107046872065101883e+00
6.616381909547738360e+03 3.771306106440059924e-01
6.616984924623115148e+03 1.086590462925590916e+00
6.617587939698492846e+03 1.192658689864418475e+00
6.618190954773869635e+03 5.580712818994335578e-01
6.618793969849246423e+03 1.076862552972764009e+00
6.619396984924623212e+03 1.029104359223000031e+00
6.620000000000000000e+03 4.285148510846884529e-01
